g,z,Qz_numeric
6.755555555555554648e-01,3.015243299999721405e+00,2.290465263143914854e+00
6.911111111111111205e-01,2.965783993603627433e+00,2.121323090165105896e+00
7.066666666666666652e-01,2.917981661859206266e+00,1.960896041452997229e+00
7.222222222222222099e-01,2.871830603676867710e+00,1.808433349026472348e+00
7.377777777777777546e-01,2.827333166536794007e+00,1.663250932892878842e+00
7.533333333333332993e-01,2.784502294892871266e+00,1.524726571133782960e+00
7.688888888888888440e-01,2.743365304131841764e+00,1.392296476154797125e+00
7.844444444444443887e-01,2.703969561284827794e+00,1.265453543553007876e+00
7.999999999999999334e-01,2.666391228716932904e+00,1.143747771337189079e+00
8.155555555555554781e-01,2.630749103983752057e+00,1.026789922420334733e+00
8.311111111111110228e-01,2.597227276899945814e+00,9.142604753265003437e-01
8.466666666666665675e-01,2.566113728030072316e+00,8.059279302585763416e-01
8.622222222222222232e-01,2.537869215880073526e+00,7.016850990027022617e-01
8.777777777777777679e-01,2.513256994408116451e+00,6.016225015059717407e-01
8.933333333333333126e-01,2.493602187812991922e+00,5.061845062215297730e-01
9.088888888888888573e-01,2.481343214874232928e+00,4.165248473242399441e-01
9.244444444444444020e-01,2.481253796709191661e+00,3.353721226062589267e-01
9.399999999999999467e-01,2.502981752128311310e+00,2.691491374662291491e-01
9.404651162790697017e-01,2.504128956135779127e+00,2.675196093093745731e-01
9.409302325581394566e-01,2.505311397052637279e+00,2.659156791651184903e-01
9.413953488372092115e-01,2.506529661889913108e+00,2.643378682165575810e-01
9.418604651162789665e-01,2.507784340221096642e+00,2.627867086602009294e-01
9.423255813953488325e-01,2.509076023561132018e+00,2.612627383768995060e-01
9.427906976744185874e-01,2.510405304707200802e+00,2.597665037740171101e-01
9.432558139534883423e-01,2.511772777034621651e+00,2.582985580090735311e-01
9.437209302325580973e-01,2.513179033749508129e+00,2.568594617002872837e-01
9.441860465116278522e-01,2.514624667092079768e+00,2.554497804396760330e-01
9.446511627906976072e-01,2.516110267500786701e+00,2.540700876352275372e-01
9.451162790697673621e-01,2.517636422725625156e+00,2.527209645108996483e-01
9.455813953488371171e-01,2.519203716898680945e+00,2.514029922906502179e-01
9.460465116279069830e-01,2.520812729559114729e+00,2.501167614354926627e-01
9.465116279069767380e-01,2.522464034634006147e+00,2.488628641827972110e-01
9.469767441860464929e-01,2.524158199376424161e+00,2.476418973884619568e-01
9.474418604651162479e-01,2.525895783259761274e+00,2.464544611058272217e-01
9.479069767441860028e-01,2.527677336836824384e+00,2.453011564540474587e-01
9.483720930232557578e-01,2.529503400555047854e+00,2.441825877497194319e-01
9.488372093023255127e-01,2.531374503541222509e+00,2.430993585988971695e-01
9.493023255813952677e-01,2.533291162350399084e+00,2.420520722523633317e-01
9.497674418604650226e-01,2.535253879689118417e+00,2.410413316056292110e-01
9.502325581395348886e-01,2.537263143110806585e+00,2.400677406200202035e-01
9.506976744186046435e-01,2.539319423691768662e+00,2.391318940198061405e-01
9.511627906976743985e-01,2.541423174690150333e+00,2.382343897266991639e-01
9.516279069767441534e-01,2.543574830194569092e+00,2.373758146489990117e-01
9.520930232558139084e-01,2.545774803765784799e+00,2.365567556950054218e-01
9.525581395348836633e-01,2.548023487080874894e+00,2.357777880490629918e-01
9.530232558139534182e-01,2.550321248583350187e+00,2.350394819217171694e-01
9.534883720930231732e-01,2.552668432142754629e+00,2.343423957995582618e-01
9.539534883720929281e-01,2.555065355741605426e+00,2.336870814190205869e-01
9.544186046511627941e-01,2.557512310183643223e+00,2.330740752398696436e-01
9.548837209302325491e-01,2.560009557840244643e+00,2.325039041295439979e-01
9.553488372093023040e-01,2.562557331437567587e+00,2.319770793235420292e-01
9.558139534883720589e-01,2.565155832894126409e+00,2.314940982017787696e-01
9.562790697674418139e-01,2.567805232217193367e+00,2.310554407358722251e-01
9.567441860465115688e-01,2.570505666462520544e+00,2.306615719760429506e-01
9.572093023255813238e-01,2.573257238768642541e+00,2.303129335246012210e-01
9.576744186046510787e-01,2.576060017470071184e+00,2.300099534835453319e-01
9.581395348837209447e-01,2.578914035298142338e+00,2.297530354411491949e-01
9.586046511627906996e-01,2.581819288676275637e+00,2.295425616694046489e-01
9.590697674418604546e-01,2.584775737112349425e+00,2.293788924134787244e-01
9.595348837209302095e-01,2.587783302699202093e+00,2.292623648258995395e-01
9.599999999999999645e-01,2.590841869726602020e+00,2.291932904796567250e-01
9.604651162790697194e-01,2.593951284403353874e+00,2.291719550129300564e-01
9.609302325581394744e-01,2.597111354702280828e+00,2.291986184843608221e-01
9.613953488372092293e-01,2.600321850324707196e+00,2.292735139519663512e-01
9.618604651162789843e-01,2.603582502788039932e+00,2.293968446309690712e-01
9.623255813953488502e-01,2.606893005638230676e+00,2.295687902886811294e-01
9.627906976744186052e-01,2.610253014786080517e+00,2.297894965863633565e-01
9.632558139534883601e-01,2.613662148968101118e+00,2.300590846715521998e-01
9.637209302325581151e-01,2.617119990328642398e+00,2.303776422962755255e-01
9.641860465116278700e-01,2.620626085121349647e+00,2.307452302119372411e-01
9.646511627906976249e-01,2.624179944529925645e+00,2.311618771955181451e-01
9.651162790697673799e-01,2.627781045594242748e+00,2.316275853786464445e-01
9.655813953488371348e-01,2.631428832249938843e+00,2.321423242079845017e-01
9.660465116279068898e-01,2.635122716465038817e+00,2.327060332873997772e-01
9.665116279069767558e-01,2.638862079470439603e+00,2.333186245095930367e-01
9.669767441860465107e-01,2.642646273082085440e+00,2.339799806350128797e-01
9.674418604651162656e-01,2.646474621094811130e+00,2.346899549365843718e-01
9.679069767441860206e-01,2.650346420754793542e+00,2.354483701338949408e-01
9.683720930232557755e-01,2.654260944290663282e+00,2.362550272749785740e-01
9.688372093023255305e-01,2.658217440499263784e+00,2.371096933018179420e-01
9.693023255813952854e-01,2.662215136376972602e+00,2.380121141953850106e-01
9.697674418604650404e-01,2.666253238786135071e+00,2.389620068043995793e-01
9.702325581395349063e-01,1.594307235559133895e+00,1.385776400297799964e-02
9.702325581395349063e-01,1.640354550345176854e+00,-1.310116459762866552e-02
9.702325581395349063e-01,2.670330936148587408e+00,2.399590670165707429e-01
9.706976744186046613e-01,1.538340079866890031e+00,5.011838126733891147e-02
9.706976744186046613e-01,1.693686317716981637e+00,-4.149018408838855976e-02
9.706976744186046613e-01,2.674447400156942489e+00,2.410029605215413262e-01
9.711627906976744162e-01,1.507517877926779493e+00,7.187742880887526553e-02
9.711627906976744162e-01,1.721833788001368548e+00,-5.542250640644396514e-02
9.711627906976744162e-01,2.678601787495384023e+00,2.420933377322853353e-01
9.716279069767441712e-01,1.483398085799450650e+00,8.984932797773124979e-02
9.716279069767441712e-01,1.743240363776528579e+00,-6.561214043188101641e-02
9.716279069767441712e-01,2.682793241560073039e+00,2.432298220611528172e-01
9.720930232558139261e-01,1.462868542043367359e+00,1.058252465213627008e-01
9.720930232558139261e-01,1.761019076694767982e+00,-7.384982865232814220e-02
9.720930232558139261e-01,2.687020894172487573e+00,2.444120166700258501e-01
9.725581395348836811e-01,1.444673726121461055e+00,1.205224851474895192e-01
9.725581395348836811e-01,1.776426327375832948e+00,-8.085242164668215992e-02
9.725581395348836811e-01,2.691283867277467046e+00,2.456395058914040141e-01
9.730232558139534360e-01,1.428156605066525309e+00,1.343138364973128773e-01
9.730232558139534360e-01,1.790120037068791081e+00,-8.699224451902408395e-02
9.730232558139534360e-01,2.695581274617200762e+00,2.469118555836757600e-01
9.734883720930231910e-01,1.412921808864554984e+00,1.474221491548632912e-01
9.734883720930231910e-01,1.802496470622844793e+00,-9.249165984215322600e-02
9.734883720930231910e-01,2.699912223376923492e+00,2.482286099336760976e-01
9.739534883720930569e-01,1.398709320837706827e+00,1.599930442353070248e-01
9.739534883720930569e-01,1.813816544495612026e+00,-9.749578531170753626e-02
9.739534883720930569e-01,2.704275815792928750e+00,2.495893031806417361e-01
9.744186046511628119e-01,1.385337215779887554e+00,1.721277762101180719e-01
9.744186046511628119e-01,1.824263087051386956e+00,-1.021053577687780350e-01
9.744186046511628119e-01,2.708671150719454968e+00,2.509934471817132362e-01
9.748837209302325668e-01,1.372672242871293191e+00,1.839000631775888628e-01
9.748837209302325668e-01,1.833970254127262889e+00,-1.063935634704193806e-01
9.748837209302325668e-01,2.713097325147236116e+00,2.524405434911614066e-01
9.753488372093023218e-01,1.360613296687354756e+00,1.953655122122199550e-01
9.753488372093023218e-01,1.843040056557790018e+00,-1.104154616626828872e-01
9.753488372093023218e-01,2.717553435672219297e+00,2.539300790971310562e-01
9.758139534883720767e-01,1.349081479036797093e+00,2.065672674689267019e-01
9.758139534883720767e-01,1.851552296922948315e+00,-1.142136390797077045e-01
9.758139534883720767e-01,2.722038579904757949e+00,2.554615271321836190e-01
9.762790697674418317e-01,1.338013797358938328e+00,2.175395859893569372e-01
9.762790697674418317e-01,1.859570869804592075e+00,-1.178217821973248508e-01
9.762790697674418317e-01,2.726551857822197444e+00,2.570343536234531712e-01
9.767441860465115866e-01,1.327358993799342635e+00,2.283101913747031808e-01
9.767441860465115866e-01,1.867147931417877604e+00,-1.212670348138544657e-01
9.767441860465115866e-01,2.731092373056678291e+00,2.586480103872190739e-01
9.772093023255813415e-01,1.317074685034267612e+00,2.389018892046123888e-01
9.772093023255813415e-01,1.874326758563589213e+00,-1.245716120479300887e-01
9.772093023255813415e-01,2.735659234119867111e+00,2.603019421343333306e-01
9.776744186046510965e-01,1.307125341710384525e+00,2.493336964448644444e-01
9.776744186046510965e-01,1.881143768032691899e+00,-1.277539357857904179e-01
9.776744186046510965e-01,2.740251555560530683e+00,2.619955843385923799e-01
