t,selected,mass,export,input_monomers,input_molecules
7.136780650542118742e+00,2.207680101464254974e-01,1.000000000000018652e+01,6.267602842940058760e-01,7.136780650542127091e+01,4.282068390325268581e+01
7.302752293577982279e+00,2.380187142947541856e-01,1.000000000000016698e+01,7.793488653647947517e-01,7.302752293577991338e+01,4.381651376146788124e+01
7.468723936613845815e+00,2.503613449412674385e-01,1.000000000000016520e+01,9.417065548561137645e-01,7.468723936613857006e+01,4.481234361968305535e+01
7.634695579649708463e+00,2.588649497378203712e-01,1.000000000000016342e+01,1.110922831122578947e+00,7.634695579649721253e+01,4.580817347789821525e+01
7.800667222685572000e+00,2.645743560736646960e-01,1.000000000000017231e+01,1.284803740133502625e+00,7.800667222685585500e+01,4.680400333611339647e+01
7.966638865721435536e+00,2.683422379084204890e-01,1.000000000000018296e+01,1.461789641827529351e+00,7.966638865721451168e+01,4.779983319432857058e+01
8.132610508757299073e+00,2.708008223880944976e-01,1.000000000000017231e+01,1.640813082566326520e+00,8.132610508757313994e+01,4.879566305254375180e+01
8.298582151793160833e+00,2.723932941955425902e-01,1.000000000000010658e+01,1.821161146626416372e+00,8.298582151793176820e+01,4.979149291075891171e+01
8.464553794829024369e+00,2.734198635804049315e-01,1.000000000000002665e+01,2.002365151171448421e+00,8.464553794829041067e+01,5.078732276897408582e+01
8.630525437864887905e+00,2.740796021064569321e-01,9.999999999999946709e+00,2.184120081942329428e+00,8.630525437864903893e+01,5.178315262718926704e+01
8.796497080900751442e+00,2.745027569332153528e-01,9.999999999999879208e+00,2.366228723920637655e+00,8.796497080900766719e+01,5.277898248540444825e+01
8.962468723936614978e+00,2.747738247175529613e-01,9.999999999999866773e+00,2.548564092126188285e+00,8.962468723936630965e+01,5.377481234361962947e+01
9.128440366972478515e+00,2.749473269465868008e-01,9.999999999999891642e+00,2.731044639561328147e+00,9.128440366972495212e+01,5.477064220183481780e+01
9.294412010008340275e+00,2.750583229676166752e-01,9.999999999999856115e+00,2.913618087665301282e+00,9.294412010008358038e+01,5.576647206004998480e+01
9.460383653044203811e+00,2.751293078015957239e-01,9.999999999999872102e+00,3.096250958104709294e+00,9.460383653044222285e+01,5.676230191826516602e+01
9.626355296080067347e+00,2.751746948776548907e-01,9.999999999999895195e+00,3.278921826554796137e+00,9.626355296080086532e+01,5.775813177648034014e+01
9.792326939115930884e+00,2.752037110494622296e-01,9.999999999999914735e+00,3.461616988932278538e+00,9.792326939115950779e+01,5.875396163469552135e+01
9.958298582151794420e+00,2.752222596087530171e-01,9.999999999999932498e+00,3.644327681866476265e+00,9.958298582151812184e+01,5.974979149291070257e+01
1.012427022518765796e+01,2.752341161124026714e-01,9.999999999999946709e+00,3.827048302394578716e+00,1.012427022518767501e+02,6.074562135112589090e+01
1.029024186822351972e+01,2.752416946974666212e-01,9.999999999999962697e+00,4.009775268653798186e+00,1.029024186822353784e+02,6.174145120934105790e+01
1.045621351125938325e+01,2.752465387628698634e-01,9.999999999999971578e+00,4.192506291000906771e+00,1.045621351125940208e+02,6.273728106755623912e+01
1.062218515429524679e+01,2.752496349457109193e-01,9.999999999999980460e+00,4.375239905876794566e+00,1.062218515429526633e+02,6.373311092577141324e+01
1.078815679733111033e+01,2.752516139163883047e-01,9.999999999999980460e+00,4.557975177807743528e+00,1.078815679733113200e+02,6.472894078398658735e+01
1.095412844036697386e+01,2.752528787976272762e-01,9.999999999999943157e+00,4.740711508862702317e+00,1.095412844036699624e+02,6.572477064220176146e+01
1.112010008340283562e+01,2.752536872558240533e-01,9.999999999999959144e+00,4.923448516867401814e+00,1.112010008340285765e+02,6.672060050041693557e+01
1.128607172643869916e+01,2.752542039931319962e-01,9.999999999999962697e+00,5.106185957537128672e+00,1.128607172643872048e+02,6.771643035863212390e+01
1.145204336947456270e+01,2.752545342730975952e-01,9.999999999999939604e+00,5.288923674747722181e+00,1.145204336947458472e+02,6.871226021684729801e+01
1.161801501251042623e+01,2.752547453752650641e-01,9.999999999999939604e+00,5.471661568712790746e+00,1.161801501251044755e+02,6.970809007506247212e+01
1.178398665554628977e+01,2.752548803030085978e-01,9.999999999999948486e+00,5.654399575651868126e+00,1.178398665554631179e+02,7.070391993327766045e+01
1.194995829858215330e+01,2.752549665455218397e-01,9.999999999999959144e+00,5.837137654794637420e+00,1.194995829858217604e+02,7.169974979149284877e+01
1.211592994161801506e+01,2.752550216697016716e-01,9.999999999999953815e+00,6.019875780087142303e+00,1.211592994161803745e+02,7.269557964970800867e+01
1.228190158465387860e+01,2.752550569039651229e-01,9.999999999999959144e+00,6.202613934876385571e+00,1.228190158465390169e+02,7.369140950792321121e+01
1.244787322768974214e+01,2.752550794248261323e-01,9.999999999999960920e+00,6.385352108518912218e+00,1.244787322768976452e+02,7.468723936613837111e+01
1.261384487072560567e+01,2.752550938202011355e-01,9.999999999999968026e+00,6.568090294210513491e+00,1.261384487072563019e+02,7.568306922435354522e+01
1.277981651376146921e+01,2.752551030220115602e-01,9.999999999999973355e+00,6.750828487603026673e+00,1.277981651376149301e+02,7.667889908256873355e+01
1.294578815679733275e+01,2.752551089041131993e-01,9.999999999999976907e+00,6.933566685917521788e+00,1.294578815679735726e+02,7.767472894078390766e+01
1.311175979983319451e+01,2.752551126642876489e-01,9.999999999999978684e+00,7.116304887377746802e+00,1.311175979983322009e+02,7.867055879899908177e+01
1.327773144286905804e+01,2.752551150680009884e-01,9.999999999999982236e+00,7.299043090848616799e+00,1.327773144286908575e+02,7.966638865721427010e+01
1.344370308590492158e+01,2.752551166047702558e-01,9.999999999999985789e+00,7.481781295604280402e+00,1.344370308590495142e+02,8.066221851542945842e+01
