t,selected,mass,export,input_monomers,input_molecules
3.651376146788991139e+00,3.441311468263448803e-01,9.999999999999987566e+00,4.900162906462127488e+00,3.651376146788993537e+01,2.190825688073394417e+01
3.817347789824854232e+00,3.441311467951085334e-01,9.999999999999987566e+00,5.128626981106442884e+00,3.817347789824856363e+01,2.290408673894911828e+01
3.983319432860717768e+00,3.441311467686489212e-01,9.999999999999992895e+00,5.357091055830719206e+00,3.983319432860719900e+01,2.389991659716430306e+01
4.149291075896580416e+00,3.441311467462359053e-01,9.999999999999991118e+00,5.585555130622725351e+00,4.149291075896582726e+01,2.489574645537948072e+01
4.315262718932443953e+00,3.441311467272505920e-01,9.999999999999996447e+00,5.814019205472106933e+00,4.315262718932446262e+01,2.589157631359466194e+01
4.481234361968307489e+00,3.441311467111685674e-01,9.999999999999996447e+00,6.042483280370087861e+00,4.481234361968309798e+01,2.688740617180984316e+01
4.647206005004170137e+00,3.441311466975459643e-01,9.999999999999996447e+00,6.270947355309234084e+00,4.647206005004171914e+01,2.788323603002501727e+01
4.813177648040033674e+00,3.441311466860066948e-01,9.999999999999994671e+00,6.499411430283253743e+00,4.813177648040035450e+01,2.887906588824019849e+01
4.979149291075897210e+00,3.441311466762320137e-01,9.999999999999996447e+00,6.727875505286810665e+00,4.979149291075898276e+01,2.987489574645537971e+01
5.145120934111759858e+00,3.441311466679522479e-01,1.000000000000000000e+01,6.956339580315387572e+00,5.145120934111761102e+01,3.087072560467055737e+01
5.311092577147623395e+00,3.441311466609386915e-01,9.999999999999998224e+00,7.184803655365161745e+00,5.311092577147623928e+01,3.186655546288573859e+01
5.477064220183486931e+00,3.441311466549977771e-01,9.999999999999998224e+00,7.413267730432888669e+00,5.477064220183487464e+01,3.286238532110092336e+01
5.643035863219349579e+00,3.441311466499654137e-01,9.999999999999998224e+00,7.641731805515822984e+00,5.643035863219350290e+01,3.385821517931610458e+01
5.809007506255213116e+00,3.441311466457026569e-01,1.000000000000000000e+01,7.870195880611639438e+00,5.809007506255214537e+01,3.485404503753127869e+01
5.974979149291076652e+00,3.441311466420917675e-01,1.000000000000000000e+01,8.098659955718368053e+00,5.974979149291078073e+01,3.584987489574645991e+01
6.140950792326939300e+00,3.441311466390331031e-01,9.999999999999998224e+00,8.327124030834337276e+00,6.140950792326940899e+01,3.684570475396162692e+01
6.306922435362802837e+00,3.441311466364421201e-01,1.000000000000000178e+01,8.555588105958138456e+00,6.306922435362805146e+01,3.784153461217680814e+01
6.472894078398666373e+00,3.441311466342474867e-01,1.000000000000000000e+01,8.784052181088574329e+00,6.472894078398668682e+01,3.883736447039198936e+01
6.638865721434529021e+00,3.441311466323884738e-01,1.000000000000000178e+01,9.012516256224623490e+00,6.638865721434532929e+01,3.983319432860716347e+01
6.804837364470392558e+00,3.441311466308137335e-01,1.000000000000000178e+01,9.240980331365436840e+00,6.804837364470397176e+01,4.082902418682235179e+01
6.970809007506256094e+00,3.441311466294798005e-01,1.000000000000000000e+01,9.469444406510277190e+00,6.970809007506260002e+01,4.182485404503754012e+01
7.136780650542118742e+00,3.441311466283498155e-01,1.000000000000000178e+01,9.697908481658533475e+00,7.136780650542122828e+01,4.282068390325271423e+01
7.302752293577982279e+00,3.441311466273928032e-01,1.000000000000000178e+01,9.926372556809681669e+00,7.302752293577985654e+01,4.381651376146790255e+01
7.468723936613845815e+00,3.441311466265820074e-01,1.000000000000000178e+01,1.015483663196328123e+01,7.468723936613848480e+01,4.481234361968308377e+01
7.634695579649708463e+00,3.441311466258952789e-01,1.000000000000000000e+01,1.038330070711895381e+01,7.634695579649711306e+01,4.580817347789825789e+01
7.800667222685572000e+00,3.441311466253134665e-01,1.000000000000000000e+01,1.061176478227638853e+01,7.800667222685574131e+01,4.680400333611343910e+01
7.966638865721435536e+00,3.441311466248206941e-01,1.000000000000000178e+01,1.084022885743531006e+01,7.966638865721436957e+01,4.779983319432862032e+01
8.132610508757299073e+00,3.441311466244033612e-01,1.000000000000000178e+01,1.106869293259549281e+01,8.132610508757301204e+01,4.879566305254380154e+01
8.298582151793160833e+00,3.441311466240498107e-01,1.000000000000000178e+01,1.129715700775674136e+01,8.298582151793162609e+01,4.979149291075896855e+01
8.464553794829024369e+00,3.441311466237502170e-01,9.999999999999998224e+00,1.152562108291889942e+01,8.464553794829026856e+01,5.078732276897414977e+01
8.630525437864887905e+00,3.441311466234965311e-01,1.000000000000000178e+01,1.175408515808182308e+01,8.630525437864889682e+01,5.178315262718933809e+01
8.796497080900751442e+00,3.441311466232816474e-01,9.999999999999998224e+00,1.198254923324539511e+01,8.796497080900753929e+01,5.277898248540451220e+01
8.962468723936614978e+00,3.441311466230995153e-01,1.000000000000000000e+01,1.221101330840951960e+01,8.962468723936616755e+01,5.377481234361969342e+01
9.128440366972478515e+00,3.441311466229455274e-01,1.000000000000000000e+01,1.243947738357410771e+01,9.128440366972481002e+01,5.477064220183487464e+01
9.294412010008340275e+00,3.441311466228147986e-01,1.000000000000000178e+01,1.266794145873909017e+01,9.294412010008342406e+01,5.576647206005004875e+01
9.460383653044203811e+00,3.441311466227041094e-01,1.000000000000000000e+01,1.289640553390441013e+01,9.460383653044206653e+01,5.676230191826523708e+01
9.626355296080067347e+00,3.441311466226104065e-01,1.000000000000000178e+01,1.312486960907001077e+01,9.626355296080070900e+01,5.775813177648041119e+01
9.792326939115930884e+00,3.441311466225310256e-01,1.000000000000000000e+01,1.335333368423585299e+01,9.792326939115935147e+01,5.875396163469559241e+01
9.958298582151794420e+00,3.441311466224637461e-01,1.000000000000000000e+01,1.358179775940189771e+01,9.958298582151797973e+01,5.974979149291078073e+01
1.012427022518765796e+01,3.441311466224067361e-01,1.000000000000000000e+01,1.381026183456811474e+01,1.012427022518766080e+02,6.074562135112595485e+01
1.029024186822351972e+01,3.441311466223584969e-01,1.000000000000000000e+01,1.403872590973447387e+01,1.029024186822352220e+02,6.174145120934112896e+01
1.045621351125938325e+01,3.441311466223175852e-01,9.999999999999998224e+00,1.426718998490096091e+01,1.045621351125938503e+02,6.273728106755631018e+01
1.062218515429524679e+01,3.441311466222828908e-01,1.000000000000000000e+01,1.449565406006755097e+01,1.062218515429524786e+02,6.373311092577149140e+01
1.078815679733111033e+01,3.441311466222535809e-01,1.000000000000000355e+01,1.472411813523422985e+01,1.078815679733111210e+02,6.472894078398667261e+01
1.095412844036697386e+01,3.441311466222287674e-01,1.000000000000000000e+01,1.495258221040098512e+01,1.095412844036697493e+02,6.572477064220186094e+01
1.112010008340283562e+01,3.441311466222077842e-01,1.000000000000000000e+01,1.518104628556779900e+01,1.112010008340283633e+02,6.672060050041703505e+01
1.128607172643869916e+01,3.441311466221899651e-01,1.000000000000000000e+01,1.540951036073467151e+01,1.128607172643869916e+02,6.771643035863222337e+01
1.145204336947456270e+01,3.441311466221748661e-01,9.999999999999998224e+00,1.563797443590158842e+01,1.145204336947456198e+02,6.871226021684741170e+01
1.161801501251042623e+01,3.441311466221620430e-01,1.000000000000000178e+01,1.586643851106854441e+01,1.161801501251042481e+02,6.970809007506260002e+01
