t,selected,mass,export,input_monomers,input_molecules
3.153461217681401418e+00,1.914591797356464205e-09,1.000000000000000178e+01,4.919410085636887799e-07,3.153461217681405060e+01,1.892076730608840762e+01
3.319432860717264511e+00,1.927653238317912524e-09,1.000000000000000000e+01,5.276557735466010751e-07,3.319432860717269307e+01,1.991659716430358529e+01
3.485404503753128047e+00,1.938717196363557316e-09,1.000000000000000000e+01,5.635942566051568787e-07,3.485404503753132133e+01,2.091242702251876295e+01
3.651376146788991139e+00,1.948089146055305711e-09,1.000000000000000000e+01,5.997222445900658755e-07,3.651376146788994959e+01,2.190825688073394062e+01
3.817347789824854232e+00,1.956027845796121358e-09,1.000000000000000355e+01,6.360107565615935163e-07,3.817347789824857784e+01,2.290408673894912539e+01
3.983319432860717768e+00,1.962752482177004081e-09,1.000000000000000178e+01,6.724352436227345535e-07,3.983319432860720610e+01,2.389991659716431016e+01
4.149291075896580416e+00,1.968448721566072357e-09,1.000000000000000000e+01,7.089749111412668336e-07,4.149291075896583436e+01,2.489574645537948427e+01
4.315262718932443953e+00,1.973273836494588780e-09,1.000000000000000178e+01,7.456121445945467320e-07,4.315262718932446262e+01,2.589157631359466549e+01
4.481234361968307489e+00,1.977361047796972571e-09,9.999999999999998224e+00,7.823320232498462622e-07,4.481234361968309088e+01,2.688740617180985026e+01
4.647206005004170137e+00,1.980823202882645829e-09,9.999999999999998224e+00,8.191219081979279670e-07,4.647206005004172624e+01,2.788323603002502438e+01
4.813177648040033674e+00,1.983755891478726251e-09,1.000000000000000178e+01,8.559710933898805856e-07,4.813177648040036871e+01,2.887906588824020204e+01
4.979149291075897210e+00,1.986240084710949412e-09,9.999999999999998224e+00,8.928705100600668363e-07,4.979149291075900408e+01,2.987489574645538326e+01
5.145120934111759858e+00,1.988344370915947855e-09,1.000000000000000000e+01,9.298124763151638281e-07,5.145120934111763233e+01,3.087072560467056093e+01
5.311092577147623395e+00,1.990126849136710742e-09,1.000000000000000000e+01,9.667904850626777937e-07,5.311092577147626059e+01,3.186655546288574214e+01
5.477064220183486931e+00,1.991636733434151230e-09,1.000000000000000000e+01,1.003799024328061031e-06,5.477064220183489596e+01,3.286238532110092336e+01
5.643035863219349579e+00,1.992915711477547127e-09,1.000000000000000000e+01,1.040833425092589880e-06,5.643035863219351711e+01,3.385821517931609748e+01
5.809007506255213116e+00,1.993999095751738165e-09,1.000000000000000000e+01,1.077889732358154653e-06,5.809007506255215958e+01,3.485404503753128580e+01
5.974979149291076652e+00,1.994916798325799455e-09,1.000000000000000000e+01,1.114964595973188676e-06,5.974979149291079494e+01,3.584987489574645991e+01
6.140950792326939300e+00,1.995694156894425751e-09,1.000000000000000000e+01,1.152055178116029312e-06,6.140950792326943031e+01,3.684570475396162692e+01
6.306922435362802837e+00,1.996352634229141588e-09,1.000000000000000000e+01,1.189159074956384019e-06,6.306922435362805857e+01,3.784153461217681524e+01
6.472894078398666373e+00,1.996910410818744456e-09,1.000000000000000000e+01,1.226274250279609592e-06,6.472894078398670104e+01,3.883736447039200357e+01
