G N22
1 3.14594
2 3.25844
3 3.34520
4 3.42324
5 3.49758
6 3.57020
7 3.64198
8 3.71336
9 3.78454
10 3.85562
11 3.92665
12 3.99765
13 4.06864
14 4.13963
15 4.21061
16 4.28159
17 4.35257
18 4.42355
19 4.49453
20 4.56550
21 4.63648
22 4.70746
23 4.77844
24 4.84942
25 4.92040
26 4.99137
27 5.06235
28 5.13333
29 5.20431
30 5.27529
31 5.34627
32 5.41724
33 5.48822
34 5.55920
35 5.63018
36 5.70116
37 5.77214
38 5.84311
39 5.91409
40 5.98507
