cycle,node,inventory_output,free_X_output,gross_service,each_food,returned_stock,returned_intermediate,returned_A,returned_B
1.0,1.0,0.2751641374949145,0.12871112905483056,0.0074157142075095385,4.75,0.3245107852173038,0.0010506989972272106,0.9999084218055566,0.9999084218055542
1.0,2.0,0.2751619822620877,0.12871003146728247,0.007400548541391912,4.75,0.3245103743528922,0.0010506970007039967,0.9999084218055566,0.9999084218055541
2.0,1.0,0.35335862410301966,0.16958892442944612,0.014765094771951419,4.75,0.37004153514165017,0.0012920713088239522,0.9999080108638344,0.9999080108638345
2.0,2.0,0.3533586240733457,0.16958892441368162,0.014765093904873341,4.75,0.3700415351377014,0.0012920713088009727,0.9999080108638345,0.9999080108638345
3.0,1.0,0.35563900785537034,0.17080201757635818,0.015319220430619116,4.75,0.37118870594268316,0.0012987652969868452,0.9999080090198017,0.9999080090198018
3.0,2.0,0.35563900785537,0.17080201757635802,0.015319220430611067,4.75,0.37118870594268305,0.001298765296986845,0.9999080090198018,0.9999080090198018
4.0,1.0,0.3556895870170256,0.170828935855692,0.015332336192219688,4.75,0.37121404814123893,0.0012989135877184714,0.9999080090115275,0.9999080090115273
4.0,2.0,0.3556895870170256,0.17082893585569203,0.015332336192219685,4.75,0.3712140481412388,0.0012989135877184714,0.9999080090115274,0.9999080090115273
5.0,1.0,0.3556907010060169,0.1708295287274046,0.015332625502950219,4.75,0.3712146062449799,0.0012989168536835121,0.9999080090114905,0.9999080090114902
5.0,2.0,0.3556907010060169,0.1708295287274046,0.015332625502950217,4.75,0.3712146062449799,0.0012989168536835121,0.9999080090114905,0.9999080090114902
6.0,1.0,0.3556907255374404,0.1708295417831815,0.015332631874146331,4.75,0.37121461853508314,0.0012989169256041185,0.99990800901149,0.99990800901149
6.0,2.0,0.3556907255374404,0.1708295417831815,0.015332631874146331,4.75,0.37121461853508314,0.0012989169256041185,0.99990800901149,0.99990800901149
7.0,1.0,0.3556907260776505,0.1708295420706847,0.015332632014447492,4.75,0.3712146188057256,0.0012989169271878922,0.9999080090114899,0.9999080090114898
7.0,2.0,0.3556907260776505,0.1708295420706847,0.015332632014447492,4.75,0.3712146188057256,0.0012989169271878922,0.9999080090114899,0.9999080090114898
8.0,1.0,0.3556907260895437,0.17082954207701484,0.015332632017537052,4.75,0.37121461881169726,0.0012989169272227365,0.9999080090114901,0.9999080090114901
8.0,2.0,0.3556907260895437,0.17082954207701484,0.015332632017537052,4.75,0.37121461881169726,0.0012989169272227365,0.9999080090114901,0.9999080090114901
9.0,1.0,0.35569072608980906,0.1708295420771555,0.01533263201760525,4.75,0.37121461881181694,0.0012989169272235384,0.9999080090114901,0.9999080090114898
9.0,2.0,0.35569072608980906,0.1708295420771555,0.01533263201760525,4.75,0.37121461881181694,0.0012989169272235384,0.9999080090114901,0.9999080090114898
10.0,1.0,0.3556907260898153,0.17082954207715728,0.015332632017606594,4.75,0.37121461881183143,0.0012989169272235215,0.9999080090114902,0.99990800901149
10.0,2.0,0.3556907260898153,0.17082954207715728,0.015332632017606594,4.75,0.37121461881183143,0.0012989169272235215,0.9999080090114902,0.99990800901149
