t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.0,0.98275,0.98275,0.01225,0.0,0.0,0.0,0.0,0.9775,0.9775,0.0,0.0,0.008749999999999999,0.0,0.0
0.005,0.9817292453121891,0.9827624119184971,0.01102064751083647,0.0010331666063075821,8.539232777561996e-05,1.8094795812907102e-05,1.7373212158332016e-06,0.9776671157397985,0.9783872002730399,0.0001677266664894288,0.0007200845332298272,0.007131438461512051,0.0007435173233061468,1.456164975473598e-08
0.01,0.9809175849449653,0.9827035701063577,0.010012343157728466,0.0017859851613918531,0.0002264989884156796,4.5794720922864756e-05,3.2649870942988545e-06,0.9778626241708311,0.9790656311592061,0.00048795346509428216,0.0012030069883537586,0.0058776624900709565,0.0012688799278625894,7.438274867518493e-08
0.015,0.9802692628821266,0.9826008656403367,0.00918065157402346,0.0023316027582094574,0.0003929531683363056,8.539797435417626e-05,4.6180440253068474e-06,0.9780566454632922,0.9795875779649128,0.0008918481274170339,0.0015309325015839038,0.00490115005607242,0.0016307934422159923,1.9471152167764236e-07
0.02,0.979749037382982,0.9824730353012369,0.008492014029998017,0.0027239979182541608,0.0005653686139109742,0.00013669861061968292,5.824934903822203e-06,0.9782316969086909,0.9799908414611825,0.001332855594143339,0.00175914455244302,0.004137190964526994,0.001870700526233673,3.8204421279827427e-07
0.025,0.9793295459959096,0.9823326992996544,0.00792066217424719,0.0030031533037440062,0.0007318852544498921,0.0001981280719852284,6.909009325504804e-06,0.9783785536087419,0.9803029431362512,0.0017801844319609017,0.0019243895274440625,0.0035375565358224236,0.0020200915711744904,6.371302579486034e-07
0.03,0.9789893871394322,0.9821881745866005,0.00744646631649449,0.0031987874471674947,0.0008857383588980084,0.0002674888213241873,7.889621529172842e-06,0.9784933736015411,0.9805440957846031,0.0022141437046412867,0.0020507221829837684,0.0030659840265334793,0.002102942762765027,9.570814923898148e-07
0.035,0.9787117123271593,0.9820447689706043,0.007053430415263354,0.003333056643444532,0.001023555812092338,0.0003424111628846766,8.78293941887133e-06,0.9785757154094438,0.9807292995172509,0.002622802444915372,0.0021535841077151593,0.0026949508489379713,0.002137524155102664,1.3368408206546926e-06
0.04,0.9784831841275573,0.9819057032771861,0.006728634874013841,0.003422519149628831,0.0011441723355883904,0.0004206241410652027,9.60255006714208e-06,0.9786271842671703,0.9808698198931864,0.002999597801641208,0.0022426356259068136,0.0024033646018986814,0.0021377500432638,1.770193264863212e-06
0.045,0.9782931975614416,0.9817727670798964,0.006461489528195809,0.003479569518455215,0.0012478099232159708,0.0005001033484625343,1.0359920889531603e-05,0.9786505198718228,0.9809742304685881,0.003341625363826965,0.002323710596647274,0.0021749031935928936,0.002114194661989472,2.250450700942182e-06
